num,Tamaina,k,Eraikitzailea,ILS,ILS time,ILS originala,ILS time originala
0,50,5,0.02515012073218067,0.03979225302354972,8.636995553970337,0.029321598070753442,9.293576717376709
1,50,5,0.008843100000061709,0.04030381437172677,8.579758882522583,0.03955961294120623,8.461056232452393
2,50,5,0.01715057243653153,0.04143307524888478,8.504935026168823,0.041581483577276306,8.617281198501587
3,50,5,0.015796076466388444,0.041486452880510005,8.657340288162231,0.03449614292616794,8.710713148117065
4,50,5,0.0025334319842471205,0.04002921268301894,8.64728045463562,0.03982495839321604,8.891470193862915
5,50,5,0.0009953539862600424,0.03910760004911977,8.505687475204468,0.038523531513474915,8.745827198028564
6,50,5,0.026607360929671732,0.03993418198625264,8.736344575881958,0.041005437113436405,8.821616888046265
7,50,5,0.007160933250808842,0.039613916196501266,9.130540132522583,0.04177000226469258,8.804312944412231
8,50,5,0.033632536042243,0.04062963390349695,9.443981170654297,0.04155340632595899,9.470004558563232
9,50,5,0.03161405935962886,0.0414441827329224,9.479389667510986,0.03910698296667323,9.67170763015747
10,50,5,0.006417040361511581,0.04120166933143436,9.147908449172974,0.040969646331537414,9.225276947021484
11,50,5,0.007196415491484571,0.040841601723881515,9.301760911941528,0.040333125787937144,9.655887365341187
12,50,5,0.007992143306290726,0.03948124347049636,9.313695907592773,0.04014337293562781,9.327446222305298
13,50,5,0.0008114634171927813,0.0409048526746513,9.468945741653442,0.04026493817759509,9.410139560699463
14,50,5,0.018235403377539063,0.04039668527993019,9.461783409118652,0.04149447495231495,9.551656007766724
15,50,5,0.022088774714923338,0.040228530313249564,9.44144892692566,0.04040563297540495,9.383355855941772
16,50,5,0.025973925798304136,0.04143307524888478,9.611215829849243,0.04045407394745789,9.172191858291626
17,50,5,0.011136486912606934,0.03992862824423382,9.246880054473877,0.040118998178989694,9.356531858444214
18,50,5,0.005723748232830144,0.039772506385260614,9.421326875686646,0.039772506385260614,9.497345209121704
19,50,5,0.0008534250235571225,0.04146824894833725,9.400192975997925,0.040122392132445645,9.396462678909302
20,50,5,0.00727509350341771,0.04107023077032253,9.1622793674469,0.039173627870898946,9.27895998954773
21,50,5,0.006412412243162573,0.04099062713471959,9.193957328796387,0.03928994791207069,9.21134328842163
22,50,5,0.014243188489684543,0.04044018959241087,9.216104984283447,0.04145066209861101,9.395617008209229
23,50,5,0.0320429316599703,0.041708911102485674,9.332449197769165,0.038140323314177035,9.130036115646362
24,50,5,0.014296566121309771,0.04152378636852534,9.506506443023682,0.03817919950830872,9.465222835540771
25,50,5,0.004062562286759447,0.04066912718007514,9.575997114181519,0.04001131729206944,9.077486038208008
